person,personLabel,occupationLabel
http://www.wikidata.org/entity/Q405676,Józef Kotarbiński,aktor
http://www.wikidata.org/entity/Q405676,Józef Kotarbiński,pisarz
http://www.wikidata.org/entity/Q405676,Józef Kotarbiński,krytyk literacki
http://www.wikidata.org/entity/Q428422,Hanka Bielicka,aktor
http://www.wikidata.org/entity/Q428422,Hanka Bielicka,piosenkarz
http://www.wikidata.org/entity/Q428422,Hanka Bielicka,aktor filmowy
http://www.wikidata.org/entity/Q428422,Hanka Bielicka,artysta kabaretowy
http://www.wikidata.org/entity/Q433197,Leopold Julian Kronenberg,przedsiębiorca
http://www.wikidata.org/entity/Q433197,Leopold Julian Kronenberg,bankier
http://www.wikidata.org/entity/Q433197,Leopold Julian Kronenberg,finansista
http://www.wikidata.org/entity/Q433828,Sławomir Szwedowski,ekonomista
http://www.wikidata.org/entity/Q434528,Katarzyna Sobczyk,piosenkarz
http://www.wikidata.org/entity/Q434539,Maria Kwaśniewska,koszykarz
http://www.wikidata.org/entity/Q434539,Maria Kwaśniewska,lekkoatleta
http://www.wikidata.org/entity/Q442222,Andrzej Kurylewicz,dyrygent
http://www.wikidata.org/entity/Q442222,Andrzej Kurylewicz,pianista
http://www.wikidata.org/entity/Q442222,Andrzej Kurylewicz,autor piosenek
http://www.wikidata.org/entity/Q442222,Andrzej Kurylewicz,kompozytor filmowy
http://www.wikidata.org/entity/Q442239,Tadeusz Pruszkowski,malarz
http://www.wikidata.org/entity/Q442239,Tadeusz Pruszkowski,nauczyciel akademicki
http://www.wikidata.org/entity/Q443519,Wojciech Żywny,kompozytor
http://www.wikidata.org/entity/Q443519,Wojciech Żywny,pianista
http://www.wikidata.org/entity/Q443519,Wojciech Żywny,skrzypek
http://www.wikidata.org/entity/Q443519,Wojciech Żywny,nauczyciel muzyki
http://www.wikidata.org/entity/Q443673,Jan Józef Lipski,pisarz
http://www.wikidata.org/entity/Q443673,Jan Józef Lipski,polityk
http://www.wikidata.org/entity/Q443673,Jan Józef Lipski,krytyk literacki
http://www.wikidata.org/entity/Q443673,Jan Józef Lipski,działacz związkowy
http://www.wikidata.org/entity/Q443738,Marian Lalewicz,architekt
http://www.wikidata.org/entity/Q443738,Marian Lalewicz,nauczyciel akademicki
http://www.wikidata.org/entity/Q445781,Wiktor Kemula,chemik
http://www.wikidata.org/entity/Q445781,Wiktor Kemula,nauczyciel akademicki
