person,personLabel,occupationLabel
http://www.wikidata.org/entity/Q9282812,Gustaw Adolf Gebethner,wydawca
http://www.wikidata.org/entity/Q9282848,Gustaw Karol Sennewald,wydawca
http://www.wikidata.org/entity/Q9287300,Helena Bursche,edukator
http://www.wikidata.org/entity/Q9287977,Henryk Brühl,lekarz
http://www.wikidata.org/entity/Q9288323,Henryk Klawe,farmaceuta
http://www.wikidata.org/entity/Q9288414,Henryk Leopold Bartsch,pisarz
http://www.wikidata.org/entity/Q9288496,Henryk Mierzecki,
http://www.wikidata.org/entity/Q9324649,Ryszard Danielczyk,
http://www.wikidata.org/entity/Q9324863,Ryszard Nawrocki,aktor
http://www.wikidata.org/entity/Q9325016,Ryszard Trenkler,
http://www.wikidata.org/entity/Q9332970,Salomon Halpert,bankier
http://www.wikidata.org/entity/Q9341657,Stanisław Brun,kupiec
http://www.wikidata.org/entity/Q9345169,Stefan Loth,oficer
http://www.wikidata.org/entity/Q9345169,Stefan Loth,piłkarz
http://www.wikidata.org/entity/Q9345357,Stefan Starczewski,pedagog
http://www.wikidata.org/entity/Q9345357,Stefan Starczewski,nauczyciel akademicki
http://www.wikidata.org/entity/Q9345357,Stefan Starczewski,socjolog
http://www.wikidata.org/entity/Q9353162,Sławomir Lindner,aktor
http://www.wikidata.org/entity/Q9354449,Tadeusz Kotula,historyk
http://www.wikidata.org/entity/Q9356380,Tekla Dalewska,
http://www.wikidata.org/entity/Q9356764,Teodor Einert,kompozytor
http://www.wikidata.org/entity/Q9356764,Teodor Einert,organista
http://www.wikidata.org/entity/Q9356777,Teodor Hertz,kompozytor
http://www.wikidata.org/entity/Q9356856,Teodor Wilhelm,
http://www.wikidata.org/entity/Q9370216,Waldemar Osterloff,językoznawca
http://www.wikidata.org/entity/Q9370780,Wanda Grodzieńska,poeta
http://www.wikidata.org/entity/Q9370783,Wanda Haberkantówna,
http://www.wikidata.org/entity/Q9373514,Wiesław Konrad Osterloff,dziennikarz
http://www.wikidata.org/entity/Q9374165,Wiktor Szeliński,inżynier
http://www.wikidata.org/entity/Q9374165,Wiktor Szeliński,oficer
http://www.wikidata.org/entity/Q9374515,Wilhelm Rotkiewicz,inżynier
http://www.wikidata.org/entity/Q9375450,Wisła Pankiewicz,dziennikarz
http://www.wikidata.org/entity/Q9375450,Wisła Pankiewicz,socjolog
http://www.wikidata.org/entity/Q9375701,Witold Karol Daab,
http://www.wikidata.org/entity/Q9375847,Witold Straus,historyk
http://www.wikidata.org/entity/Q9381853,Władysław Gustaw Sennewald,wydawca
http://www.wikidata.org/entity/Q9381945,Władysław Kijok,Piwowar
http://www.wikidata.org/entity/Q9382740,Włodzimierz Missol,prezbiter
http://www.wikidata.org/entity/Q9382852,Włodzimierz Tiunin,malarz
http://www.wikidata.org/entity/Q9388141,Zbigniew Mazurkiewicz,inżynier budownictwa
http://www.wikidata.org/entity/Q9389774,Zdzisław Nardelli,
http://www.wikidata.org/entity/Q9393031,Zygmunt Okniński,mediewista
http://www.wikidata.org/entity/Q11685038,Aleksander Jan Janasz,
http://www.wikidata.org/entity/Q11685112,Aleksander Schiele,sportowiec
