page_title,page_length,incoming_links,interwiki_links,street_count,Score,
Adam_Mickiewicz,54232,2203,5,707,412,
Fryderyk_Chopin,93114,1649,5,351,403,
Juliusz_Słowacki,36238,1231,3,547,375,
Julian_Tuwim,34128,676,5,265,375,
Roman_Dmowski,85942,492,5,90,363,
Jarosław_Iwaszkiewicz,25705,565,6,72,358,
Andrzej_Wajda,130401,1734,6,6,356,
Maria_Konopnicka,38632,574,2,558,350,
Stefan_Żeromski,29931,773,2,405,347,
Stanisław_Lem,123614,720,3,55,345,
Tadeusz_Mazowiecki,62767,588,5,18,339,
Bolesław_Prus,23281,501,2,433,339,
Stanisław_Moniuszko,22857,621,2,273,335,
Leopold_Staff,52247,288,3,115,334,
Władysław_Reymont,26836,548,2,235,333,
Kazimierz_Sosnkowski,156808,631,3,23,333,
Józef_Haller,43220,621,2,129,331,
Maria_Dąbrowska,26303,297,3,139,330,
Witold_Lutosławski,35330,440,4,35,330,
Hugo_Kołłątaj,21189,671,3,66,329,
Wojciech_Korfanty,29674,549,3,64,329,
Władysław_Broniewski,27540,356,2,238,327,
Ignacy_Daszyński,63347,493,2,96,327,
Zbigniew_Herbert,64259,485,2,80,324,
Gabriela_Zapolska,37404,242,3,84,323,
Jan_Matejko,29115,949,1,257,323,
Eugeniusz_Kwiatkowski,29372,471,3,48,322,
Tadeusz_Kutrzeba,36046,501,3,39,322,
Wisława_Szymborska,36421,618,2,74,321,
Władysław_Anders,60375,795,1,147,319,
Stanisław_Wojciechowski,54339,709,3,16,319,
Władysław_Grabski,94752,459,2,37,316,
Stefan_Starzyński,42283,283,3,33,313,
Michael_Jackson,127161,1128,5,,312,
Czesław_Niemen,53441,567,2,31,310,
Zofia_Nałkowska,16185,267,2,142,310,
Maria_Rodziewiczówna,29276,119,4,35,308,
Jan_Brzechwa,14455,249,2,139,307,
Eliza_Orzeszkowa,22167,293,1,323,306,
Jan_Nowak-Jeziorański,37671,317,3,17,304,
Kazimierz_Przerwa-Tetmajer,32185,310,2,49,303,
Jan_Karski,47679,199,3,20,302,
Władysław_Orkan,22356,175,2,86,299,
Wojciech_Bogusławski,25478,286,2,46,299,
Oskar_Kolberg,29772,290,2,40,298,
Władysław_Bartoszewski,70221,656,2,9,298,
Agnieszka_Osiecka,44980,400,2,21,298,
Stefan_Banach,23839,172,3,22,294,
Melchior_Wańkowicz,88597,299,1,53,293,
Jarosław_Dąbrowski,12692,128,2,113,293,
