WikiId,First name,Last name,Street count
Adam_Mickiewicz,Adam,Mickiewicz,707
Tadeusz_Kościuszko,Tadeusz,Kościuszko,623
Henryk_Sienkiewicz,Henryk,Sienkiewicz,570
Maria_Konopnicka,Maria,Konopnicka,558
Juliusz_Słowacki,Juliusz,Słowacki,547
Bolesław_Prus,Bolesław,Prus,433
Mikołaj_Kopernik,Mikołaj,Kopernik,406
Stefan_Żeromski,Stefan,Żeromski,405
Wincenty_Witos,Wincenty,Witos,377
Mikołaj_Rej,Mikołaj,Rej,373
Fryderyk_Chopin,Fryderyk,Chopin,351
Jan_Kochanowski,Jan,Kochanowski,351
Władysław_Sikorski,Władysław,Sikorski,346
Eliza_Orzeszkowa,Eliza,Orzeszkowa,323
Józef_Piłsudski,Józef,Piłsudski,284
Stefan_Wyszyński,Stefan,Wyszyński,277
Stanisław_Moniuszko,Stanisław,Moniuszko,273
Adam_Asnyk,Adam,Asnyk,269
Julian_Tuwim,Julian,Tuwim,265
Stanisław_Staszic,Stanisław,Staszic,264
Jan_Kiliński,Jan,Kiliński,259
Jan_Matejko,Jan,Matejko,257
Królowej_Jadwigi,Królowej,Jadwigi,254
Stanisław_Wyspiański,Stanisław,Wyspiański,246
Cyprian_Norwid,Cyprian Kamil,Norwid,241
Władysław_Broniewski,Władysław,Broniewski,238
Władysław_Reymont,Władysław,Reymont,235
Józef_Bem,Józef,Bem,228
Romuald_Traugutt,Romuald,Traugutt,198
Ignacy_Paderewski,Ignacy,Paderewski,198
Ignacy_Krasicki,Ignacy,Krasicki,197
Janusz_Korczak,Janusz,Korczak,180
Jerzy_Popiełuszko,Jerzy,Popiełuszko,157
Gabriel_Narutowicz,Gabriel,Narutowicz,154
Jan_Kasprowicz,Jan,Kasprowicz,153
Kazimierz_Pułaski,Kazimierz,Pułaski,153
Aleksander_Fredro,Aleksander,Fredro,152
Czesław_Miłosz,Czesław,Miłosz,150
Maria_Skłodowska-Curie,Maria,Skłodowska-Curie,149
Władysław_Anders,Władysław,Anders,147
Zofia_Nałkowska,Zofia,Nałkowska,142
Jan_Brzechwa,Jan,Brzechwa,139
Maria_Dąbrowska,Maria,Dąbrowska,139
Krzysztof_Baczyński,Krzysztof Kamil,Baczyński,138
Karol_Szymanowski,Karol,Szymanowski,136
Bartosz_Głowacki,Bartosz,Głowacki,134
Stefan_Okrzeja,Stefan,Okrzeja,133
Stefan_Czarniecki,Stefan,Czarniecki,131
Emilia_Plater,Emilia,Plater,130
Józef_Haller,Józef,Haller,129
Piotr_Skarga,Piotr,Skarga,128
Witold_Pilecki,Witold,Pilecki,127
Józef_Chełmoński,Józef,Chełmoński,125
Władysław_Reymont,Władysław Stanisław,Reymont,123
Józef_Kraszewski,Józef Ignacy,Kraszewski,121
Józef_Wybicki,Józef,Wybicki,117
Leopold_Staff,Leopold,Staff,115
Zygmunt_Krasiński,Zygmunt,Krasiński,114
Jarosław_Dąbrowski,Jarosław,Dąbrowski,113
Marszałka_Piłsudski,Marszałka Józef,Piłsudski,111
Konstanty_Gałczyński,Konstanty Ildefons,Gałczyński,109
Henryk_Wieniawski,Henryk,Wieniawski,107
Hugon_Kołłątaj,Hugon,Kołłątaj,107
Jan_Długosz,Jan,Długosz,107
Jack_Malczewski,Jack,Malczewski,106
Janusz_Kusociński,Janusz,Kusociński,103
Ludwik_Waryński,Ludwik,Waryński,97
Ignacy_Daszyński,Ignacy,Daszyński,96
Stanisław_Maczek,Stanisław,Maczek,94
Maciej_Rataj,Maciej,Rataj,90
Roman_Dmowski,Roman,Dmowski,90
Henryk_Sucharski,Henryk,Sucharski,89
Kornel_Makuszyński,Kornel,Makuszyński,88
Leopold_Okulicki,Leopold,Okulicki,87
Artur_Grottger,Artur,Grottger,86
Władysław_Orkan,Władysław,Orkan,86
Gabriela_Zapolska,Gabriela,Zapolska,84
Józef_Poniatowski,Józef,Poniatowski,83
Bolesław_Leśmian,Bolesław,Leśmian,81
Zbigniew_Herbert,Zbigniew,Herbert,80
Karol_Miarka,Karol,Miarka,77
Wit_Stwosz,Wit,Stwosz,76
Piotr_Ściegienny,Piotr,Ściegienny,75
Michał_Drzymała,Michał,Drzymała,74
Wisława_Szymborska,Wisława,Szymborska,74
Henryk_Dąbrowski,Henryk,Dąbrowski,73
Tadeusz_Rejtan,Tadeusz,Rejtan,73
Jarosław_Iwaszkiewicz,Jarosław,Iwaszkiewicz,72
Joachim_Lelewel,Joachim,Lelewel,72
Stanisław_Konarski,Stanisław,Konarski,71
