cemetery,cemeteryLabel,adm_location,adm_locationLabel,location
http://www.wikidata.org/entity/Q8510713,Cmentarz Zasłużonych Wielkopolan,http://www.wikidata.org/entity/Q268,Poznań,Point(16.9289 52.4144)
http://www.wikidata.org/entity/Q8510724,Cmentarz Wolski w Warszawie,http://www.wikidata.org/entity/Q270,Warszawa,Point(20.9344 52.2278)
http://www.wikidata.org/entity/Q8510730,Stary Cmentarz w Jarosławiu,http://www.wikidata.org/entity/Q721928,Jarosław,Point(22.6694 50.0133)
http://www.wikidata.org/entity/Q8510734,Stary Cmentarz Podgórski,http://www.wikidata.org/entity/Q9248440,Podgórze,Point(19.9598 50.0422)
http://www.wikidata.org/entity/Q8510738,Cmentarz wojenny nr 171 - Łowczówek,http://www.wikidata.org/entity/Q5830582,Łowczówek,Point(20.9672 49.9069)
http://www.wikidata.org/entity/Q8510744,Cmentarz Białoprądnicki,http://www.wikidata.org/entity/Q31487,Kraków,Point(19.9278 50.0981)
http://www.wikidata.org/entity/Q8510747,Cmentarz Bronowicki,http://www.wikidata.org/entity/Q31487,Kraków,Point(19.8758 50.0956)
http://www.wikidata.org/entity/Q8510751,Cmentarz Kobierzyn-Maki Czerwone,http://www.wikidata.org/entity/Q31487,Kraków,Point(19.8888 50.0129)
http://www.wikidata.org/entity/Q8510755,Cmentarz Wola Duchacka,http://www.wikidata.org/entity/Q31487,Kraków,Point(19.9551 50.0182)
http://www.wikidata.org/entity/Q8510759,Dawny cmentarz przy Kościele Mariackim,http://www.wikidata.org/entity/Q31487,Kraków,Point(19.939306 50.061389)
http://www.wikidata.org/entity/Q8510765,Cmentarz żydowski w Bielsku-Białej,http://www.wikidata.org/entity/Q106583,Bielsko-Biała,Point(19.025 49.8172)
http://www.wikidata.org/entity/Q8510773,Stary Cmentarz w Rzeszowie,http://www.wikidata.org/entity/Q598,Rzeszów,Point(22.0006 50.0322)
http://www.wikidata.org/entity/Q8510776,Cmentarz epidemiczny w Warszawie,http://www.wikidata.org/entity/Q270,Warszawa,Point(21.0491 52.2953)
http://www.wikidata.org/entity/Q8510786,Cmentarz Komunalny Północny w Warszawie,http://www.wikidata.org/entity/Q270,Warszawa,Point(20.895833333 52.300833333)
http://www.wikidata.org/entity/Q8510790,Cmentarz żydowski w Kielcach,http://www.wikidata.org/entity/Q102317,Kielce,Point(20.6081 50.8564)
http://www.wikidata.org/entity/Q8510794,Cmentarz żydowski w Olsztynie,http://www.wikidata.org/entity/Q82765,Olsztyn,Point(20.4684 53.7758)
http://www.wikidata.org/entity/Q8510803,Stary cmentarz żydowski w Łomży,http://www.wikidata.org/entity/Q215633,Łomża,Point(22.0889 53.1767)
http://www.wikidata.org/entity/Q8510806,Cmentarz żydowski w Suwałkach,http://www.wikidata.org/entity/Q236083,Suwałki,Point(22.9182 54.0965)
http://www.wikidata.org/entity/Q8510810,Nowy cmentarz żydowski w Kaliszu,http://www.wikidata.org/entity/Q52842,Kalisz,Point(18.0625 51.7508)
http://www.wikidata.org/entity/Q8510820,Cmentarz wojenny nr 276 - Brzesko,http://www.wikidata.org/entity/Q324884,Brzesko,Point(20.6073 49.9737)
http://www.wikidata.org/entity/Q8510824,Cmentarz rzymskokatolicki w Radomiu,http://www.wikidata.org/entity/Q104740,Radom,Point(21.1294 51.3933)
http://www.wikidata.org/entity/Q8510828,Cmentarz Wawrzyszewski,http://www.wikidata.org/entity/Q270,Warszawa,Point(20.9269 52.2789)
http://www.wikidata.org/entity/Q8510835,Cmentarz na Miłostowie,http://www.wikidata.org/entity/Q268,Poznań,Point(16.9983 52.4206)
http://www.wikidata.org/entity/Q8510843,Cmentarz Żołnierzy Polskich we Wrocławiu,http://www.wikidata.org/entity/Q1799,Wrocław,Point(16.974 51.084)
http://www.wikidata.org/entity/Q8510851,Komunalny Cmentarz Południowy w Warszawie,http://www.wikidata.org/entity/Q270,Warszawa,Point(20.9014 52.0583)
http://www.wikidata.org/entity/Q8510854,Cmentarz ewangelicki w Radomiu,http://www.wikidata.org/entity/Q104740,Radom,Point(21.1156 51.4028)
http://www.wikidata.org/entity/Q8510857,Cmentarz żydowski w Radomiu,http://www.wikidata.org/entity/Q104740,Radom,Point(21.1992 51.4097)
http://www.wikidata.org/entity/Q8510860,Cmentarz choleryczny w Warszawie,http://www.wikidata.org/entity/Q270,Warszawa,Point(21.029761 52.26856)
http://www.wikidata.org/entity/Q8510860,Cmentarz choleryczny w Warszawie,http://www.wikidata.org/entity/Q270,Warszawa,Point(21.0298 52.2686)
http://www.wikidata.org/entity/Q8510860,Cmentarz choleryczny w Warszawie,http://www.wikidata.org/entity/Q2107497,Praga-Północ,Point(21.029761 52.26856)
http://www.wikidata.org/entity/Q8510860,Cmentarz choleryczny w Warszawie,http://www.wikidata.org/entity/Q2107497,Praga-Północ,Point(21.0298 52.2686)
http://www.wikidata.org/entity/Q8510864,Cmentarz Wojenny Wiączyń,http://www.wikidata.org/entity/Q8028816,Wiączyń Dolny,Point(19.6297 51.7714)
http://www.wikidata.org/entity/Q8510870,Cmentarz Świętej Rodziny,http://www.wikidata.org/entity/Q1799,Wrocław,Point(17.1119 51.1093)
http://www.wikidata.org/entity/Q8510873,Cmentarz leśny w Laskach,http://www.wikidata.org/entity/Q622524,Laski,Point(20.8356 52.2981)
http://www.wikidata.org/entity/Q8510877,Cmentarz Żołnierzy Włoskich we Wrocławiu,http://www.wikidata.org/entity/Q1799,Wrocław,Point(16.975025 51.085875)
http://www.wikidata.org/entity/Q8510882,Cmentarz żydowski w Szydłowcu,http://www.wikidata.org/entity/Q974977,Szydłowiec,Point(20.8633 51.2272)
http://www.wikidata.org/entity/Q8510886,Cmentarz św. Rocha na Radogoszczu,http://www.wikidata.org/entity/Q11729153,Julianów-Marysin-Rogi,Point(19.44 51.807)
http://www.wikidata.org/entity/Q8510891,Cmentarz wojenny nr 27 - Bączal,http://www.wikidata.org/entity/Q959692,Bączal Dolny,Point(21.3608 49.7531)
http://www.wikidata.org/entity/Q8510895,Cmentarz wojenny nr 28 - Jabłonica-Wałówka,http://www.wikidata.org/entity/Q5191636,Jabłonica,Point(21.3396 49.7832)
http://www.wikidata.org/entity/Q8510899,Cmentarz wojenny nr 26 - Sławęcin,http://www.wikidata.org/entity/Q7667278,Sławęcin,Point(21.3522 49.7494)
http://www.wikidata.org/entity/Q8510905,Cmentarz wojenny nr 30 - Święcany,http://www.wikidata.org/entity/Q1761670,Święcany,Point(21.2697 49.7761)
http://www.wikidata.org/entity/Q8510909,Cmentarz wojenny nr 25 - Trzcinica,http://www.wikidata.org/entity/Q339214,Trzcinica,Point(21.4031 49.7378)
http://www.wikidata.org/entity/Q8510913,Cmentarz wojenny nr 29 - Siepietnica-Bugaj,http://www.wikidata.org/entity/Q1721134,Siepietnica,Point(21.2854 49.7639)
http://www.wikidata.org/entity/Q8510921,Stary cmentarz w Świętochłowicach,http://www.wikidata.org/entity/Q45197,Świętochłowice,Point(18.92865 50.288389)
http://www.wikidata.org/entity/Q8510927,Cmentarz żydowski w Warszawie (Radość),http://www.wikidata.org/entity/Q270,Warszawa,Point(21.2192 52.1825)
http://www.wikidata.org/entity/Q8510930,Cmentarz Centralny w Sanoku,http://www.wikidata.org/entity/Q201729,Sanok,Point(22.1906 49.5631)
http://www.wikidata.org/entity/Q8510934,Cmentarz katolicki w Żelechowie,http://www.wikidata.org/entity/Q393091,Żelechów,Point(21.8881 51.8111)
http://www.wikidata.org/entity/Q8510938,Cmentarz wojskowy w Koninie,http://www.wikidata.org/entity/Q52845,Konin,Point(18.2403 52.1996)
http://www.wikidata.org/entity/Q8510942,Cmentarz Żołnierzy Armii Czerwonej w Katowicach,http://www.wikidata.org/entity/Q588,Katowice,Point(19.0036 50.2403)
http://www.wikidata.org/entity/Q8510949,Cmentarz Abrahama w Krakowie,http://www.wikidata.org/entity/Q31487,Kraków,Point(19.9636 50.0322)
http://www.wikidata.org/entity/Q8510959,Cmentarz Kamionkowski,http://www.wikidata.org/entity/Q270,Warszawa,Point(21.0531 52.2469)
http://www.wikidata.org/entity/Q8510963,Cmentarz św. Wawrzyńca we Wrocławiu,http://www.wikidata.org/entity/Q1799,Wrocław,Point(17.0694 51.1181)
http://www.wikidata.org/entity/Q8510966,Cmentarz w Gołąbkach,http://www.wikidata.org/entity/Q270,Warszawa,Point(20.8686 52.1994)
http://www.wikidata.org/entity/Q8510972,Cmentarz na Służewie przy ul. Wałbrzyskiej,http://www.wikidata.org/entity/Q270,Warszawa,Point(21.034444444 52.1725)
http://www.wikidata.org/entity/Q8510976,Cmentarz mariawicki w Płocku,,,Point(19.707103 52.535661)
http://www.wikidata.org/entity/Q8510979,Cmentarz prawosławny w Płocku,,,Point(19.708117 52.535217)
http://www.wikidata.org/entity/Q8510983,Nowy cmentarz żydowski w Bełchatowie,http://www.wikidata.org/entity/Q157992,Bełchatów,Point(19.3539 51.36)
http://www.wikidata.org/entity/Q8510991,Cmentarz Parafii Matki Bożej Pocieszenia w Poznaniu,http://www.wikidata.org/entity/Q268,Poznań,Point(16.855 52.4712)
http://www.wikidata.org/entity/Q8510995,Cmentarz Zarzew w Łodzi,http://www.wikidata.org/entity/Q9387103,Zarzew,Point(19.525880555 51.749472222)
http://www.wikidata.org/entity/Q8510998,Cmentarz w Nowotańcu,http://www.wikidata.org/entity/Q507087,Nowotaniec,Point(22.2172 49.5519)
http://www.wikidata.org/entity/Q8511002,Cmentarz mariawicki w Warszawie,http://www.wikidata.org/entity/Q270,Warszawa,Point(20.9306 52.2239)
http://www.wikidata.org/entity/Q8511006,Cmentarz Górczyński w Poznaniu,http://www.wikidata.org/entity/Q268,Poznań,Point(16.8779 52.3867)
http://www.wikidata.org/entity/Q8511014,Cmentarz Parafialny św. Jana Vianneya w Poznaniu,http://www.wikidata.org/entity/Q268,Poznań,Point(16.890252777 52.439158333)
http://www.wikidata.org/entity/Q8511017,Cmentarz mariawicki w Górce Powielińskiej,http://www.wikidata.org/entity/Q82077,Górka Powielińska,Point(20.947903 52.572936)
http://www.wikidata.org/entity/Q8511021,Cmentarz mariawicki w Długiej Kościelnej,http://www.wikidata.org/entity/Q1948945,Długa Kościelna,Point(21.3433 52.2405)
http://www.wikidata.org/entity/Q8511025,Cmentarz Partyzancki w Kielcach,http://www.wikidata.org/entity/Q102317,Kielce,Point(20.6246 50.8594)
http://www.wikidata.org/entity/Q8511028,Cmentarz żydowski w Sobkowie,http://www.wikidata.org/entity/Q1950652,Sobków,Point(20.4583 50.6953)
http://www.wikidata.org/entity/Q8511032,Cmentarz żydowski w Małogoszczu,http://www.wikidata.org/entity/Q592809,Małogoszcz,Point(20.2586 50.8025)
http://www.wikidata.org/entity/Q8511040,Cmentarz Stary w Kielcach,http://www.wikidata.org/entity/Q102317,Kielce,Point(20.6232 50.8571)
http://www.wikidata.org/entity/Q8511053,Cmentarz ewangelicko-augsburski w Kaliszu,http://www.wikidata.org/entity/Q52842,Kalisz,Point(18.0831 51.7577)
http://www.wikidata.org/entity/Q8511056,Cmentarz Prawosławny w Sosnowcu,http://www.wikidata.org/entity/Q105060,Sosnowiec,Point(19.119817 50.286742)
http://www.wikidata.org/entity/Q8511060,Cmentarz Miejski w Kaliszu,http://www.wikidata.org/entity/Q52842,Kalisz,Point(18.0803 51.7569)
http://www.wikidata.org/entity/Q8511063,Nowy cmentarz żydowski w Żelechowie,http://www.wikidata.org/entity/Q393091,Żelechów,Point(21.8892 51.8058)
http://www.wikidata.org/entity/Q8511067,Cmentarz staroobrzędowców na Kamionku,http://www.wikidata.org/entity/Q6358262,Kamionek,Point(21.0661 52.2461)
http://www.wikidata.org/entity/Q8511071,Cmentarz grecko-prawosławny w Kaliszu,http://www.wikidata.org/entity/Q52842,Kalisz,Point(18.0825 51.7567)
http://www.wikidata.org/entity/Q8511075,Cmentarz żydowski w Ostrowcu Świętokrzyskim,http://www.wikidata.org/entity/Q730929,Ostrowiec Świętokrzyski,Point(21.386 50.9423)
http://www.wikidata.org/entity/Q8511079,Cmentarz żydowski w Wąchocku,http://www.wikidata.org/entity/Q439,Wąchock,Point(21.0264 51.0744)
http://www.wikidata.org/entity/Q8511083,Cmentarz Ducha Świętego we Wrocławiu,http://www.wikidata.org/entity/Q1799,Wrocław,Point(17.0555 51.0725)
http://www.wikidata.org/entity/Q8511089,Cmentarz Mogilski,http://www.wikidata.org/entity/Q31487,Kraków,Point(20.0508 50.0697)
http://www.wikidata.org/entity/Q8511094,Cmentarz żydowski w Czudcu,http://www.wikidata.org/entity/Q2124583,Czudec,Point(21.8417 49.9472)
http://www.wikidata.org/entity/Q8511099,Cmentarz wojenny Podobwodu Skarżysko-Kamienna AK,http://www.wikidata.org/entity/Q644002,Skarżysko-Kamienna,Point(20.83 51.1603)
http://www.wikidata.org/entity/Q8511103,Cmentarz ewangelicko-reformowany w Łodzi,http://www.wikidata.org/entity/Q9311963,Rokicie,Point(19.4445 51.739)
http://www.wikidata.org/entity/Q8511107,Cmentarz ewangelicko-reformowany w Zelowie,http://www.wikidata.org/entity/Q189273,Zelów,Point(19.2211 51.4711)
http://www.wikidata.org/entity/Q8511111,Cmentarz mariawicki w Łodzi,,,Point(19.4889 51.7913)
http://www.wikidata.org/entity/Q8511115,Cmentarz Poległych w Bitwie Warszawskiej w Ossowie,http://www.wikidata.org/entity/Q5288903,Ossów,Point(21.2217 52.305)
http://www.wikidata.org/entity/Q8511122,Cmentarz żydowski w Tarnowskich Górach,http://www.wikidata.org/entity/Q329833,Tarnowskie Góry,Point(18.847 50.4365)
http://www.wikidata.org/entity/Q8511126,Cmentarz żydowski w Toruniu,http://www.wikidata.org/entity/Q47554,Toruń,Point(18.6283 53.0167)
http://www.wikidata.org/entity/Q8511137,Cmentarz żydowski w Ścinawie,http://www.wikidata.org/entity/Q387095,Ścinawa,Point(16.4222 51.406267)
http://www.wikidata.org/entity/Q8511141,Cmentarz żydowski w Birczy,http://www.wikidata.org/entity/Q2481888,Bircza,Point(22.485 49.6942)
http://www.wikidata.org/entity/Q8511145,Cmentarz żydowski w Podwilku,http://www.wikidata.org/entity/Q831065,Podwilk,Point(19.7321 49.538)
http://www.wikidata.org/entity/Q8511153,Cmentarz ewangelicki w Stadłach,http://www.wikidata.org/entity/Q7596536,Stadła,Point(20.6071 49.5854)
http://www.wikidata.org/entity/Q8511158,Cmentarz Łostowicki,http://www.wikidata.org/entity/Q1792,Gdańsk,Point(18.5969 54.3411)
http://www.wikidata.org/entity/Q8511166,Cmentarz żydowski w Kraskowie,http://www.wikidata.org/entity/Q6436199,Krasków,Point(18.184 50.954)
http://www.wikidata.org/entity/Q8511179,Cmentarz żydowski w Rypinie,http://www.wikidata.org/entity/Q325244,Rypin,Point(19.4175 53.0539)
http://www.wikidata.org/entity/Q8511182,Cmentarz żydowski w Kostrzynie nad Odrą,http://www.wikidata.org/entity/Q156837,Kostrzyn nad Odrą,Point(14.655 52.593)
http://www.wikidata.org/entity/Q8511188,Cmentarz żydowski w Przysusze,http://www.wikidata.org/entity/Q985528,Przysucha,Point(20.6264 51.3622)
http://www.wikidata.org/entity/Q8511192,Cmentarz żydowski w Woli Michowej,http://www.wikidata.org/entity/Q8029520,Wola Michowa,Point(22.1689 49.2353)
http://www.wikidata.org/entity/Q8511199,Cmentarz żydowski w Nowym Wiśniczu,http://www.wikidata.org/entity/Q1011553,Nowy Wiśnicz,Point(20.4597 49.9116)
http://www.wikidata.org/entity/Q8511203,Cmentarz żydowski w Bieczu,http://www.wikidata.org/entity/Q460971,Biecz,Point(21.2501 49.7354)
http://www.wikidata.org/entity/Q8511209,Nowy cmentarz żydowski w Sanoku,http://www.wikidata.org/entity/Q201729,Sanok,Point(22.1906 49.5664)
http://www.wikidata.org/entity/Q8511236,Cmentarz żydowski w Żołyni,http://www.wikidata.org/entity/Q2363612,Żołynia,Point(22.3022 50.1583)
http://www.wikidata.org/entity/Q8511240,Cmentarz żydowski w Jeleniewie,http://www.wikidata.org/entity/Q3468938,Jeleniewo,Point(22.9143 54.2045)
http://www.wikidata.org/entity/Q8511244,Cmentarz żydowski w Pruszkowie,http://www.wikidata.org/entity/Q721937,Pruszków,Point(20.8084 52.1536)
http://www.wikidata.org/entity/Q8511249,Cmentarz żydowski w Karczewie,http://www.wikidata.org/entity/Q991950,Karczew,Point(21.2467 52.0808)
http://www.wikidata.org/entity/Q8511253,Cmentarz żydowski w Cieszanowie,http://www.wikidata.org/entity/Q653855,Cieszanów,Point(23.1289 50.2475)
http://www.wikidata.org/entity/Q8511266,Cmentarz prawosławny w Słupcy,,,Point(17.885742 52.291056)
http://www.wikidata.org/entity/Q8511270,Gaj wymysłowicki,http://www.wikidata.org/entity/Q1747224,Wymysłowice,Point(18.17 52.6883)
http://www.wikidata.org/entity/Q8511274,Cmentarz Legionistów Polskich w Jastkowie,http://www.wikidata.org/entity/Q2419970,Jastków,Point(22.4363 51.3036)
http://www.wikidata.org/entity/Q8511278,Cmentarz żydowski w Krynicy,http://www.wikidata.org/entity/Q259497,Krynica-Zdrój,Point(20.9499 49.4142)
http://www.wikidata.org/entity/Q8511286,Cmentarz żydowski w Leżajsku,http://www.wikidata.org/entity/Q614145,Leżajsk,Point(22.4217 50.2514)
http://www.wikidata.org/entity/Q8511292,Cmentarz żydowski w Jaśliskach,http://www.wikidata.org/entity/Q3496269,Jaśliska,Point(21.8006 49.4372)
http://www.wikidata.org/entity/Q8511299,Cmentarz żydowski w Lublinie-Głusku,http://www.wikidata.org/entity/Q37333,Lublin,Point(22.6025 51.1908)
http://www.wikidata.org/entity/Q8511303,Cmentarz żydowski w Bochni,http://www.wikidata.org/entity/Q815903,Bochnia,Point(20.4379 49.9716)
http://www.wikidata.org/entity/Q8511307,Cmentarz żydowski w Przytyku,http://www.wikidata.org/entity/Q600023,Przytyk,Point(20.9165 51.4637)
http://www.wikidata.org/entity/Q8511310,Cmentarz żydowski w Ożarowie,http://www.wikidata.org/entity/Q1922317,Ożarów,Point(21.6678 50.8814)
http://www.wikidata.org/entity/Q8511314,Cmentarz żydowski w Nurze,http://www.wikidata.org/entity/Q2920812,Nur,Point(22.3042 52.6889)
http://www.wikidata.org/entity/Q8511321,Cmentarz żydowski w Trzebini,http://www.wikidata.org/entity/Q686167,Trzebinia,Point(19.4711 50.1555)
http://www.wikidata.org/entity/Q8511325,Cmentarz wojenny nr 293 - Zakliczyn,http://www.wikidata.org/entity/Q945651,Zakliczyn,Point(20.8173 49.8541)
http://www.wikidata.org/entity/Q8511330,Cmentarz żydowski w Dąbrowie Tarnowskiej,http://www.wikidata.org/entity/Q324971,Dąbrowa Tarnowska,Point(20.9878 50.1774)
http://www.wikidata.org/entity/Q8511333,Cmentarz żydowski w Zambrowie,http://www.wikidata.org/entity/Q145719,Zambrów,Point(22.2353 52.99)
http://www.wikidata.org/entity/Q8511341,Nowy cmentarz żydowski w Skierniewicach,http://www.wikidata.org/entity/Q2734,Skierniewice,Point(20.1615 51.9437)
http://www.wikidata.org/entity/Q8511344,Cmentarz żydowski w Lubaczowie,http://www.wikidata.org/entity/Q931022,Lubaczów,Point(23.1283 50.1583)
