person,personLabel,name_in_native_language,cemetery,cemeteryLabel,birthDate,deathDate,grave_photo
http://www.wikidata.org/entity/Q85134014,Roman Loth,Roman Loth,http://www.wikidata.org/entity/Q1379798,Cmentarz ewangelicko-augsburski w Warszawie,1931-01-01T00:00:00Z,2019-11-30T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/August%20Loth%2C%20Janina%20Loth-Borkowska%2C%20Jan%20Loth%2C%20Jerzy%20Loth%2C%20Roman%20Loth%2C%20Stefan%20August%20Loth%2C%20Wac%C5%82aw%20Loth%2C%20Wanda%20Kwa%C5%9Bniewska%20%28gr%C3%B3b%29%2001.jpg
http://www.wikidata.org/entity/Q9354449,Tadeusz Kotula,Tadeusz Kotula,http://www.wikidata.org/entity/Q1379798,Cmentarz ewangelicko-augsburski w Warszawie,1923-12-22T00:00:00Z,2007-05-04T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Kotula%20rodzinny%20gr%C3%B3b.jpg
http://www.wikidata.org/entity/Q9388141,Zbigniew Mazurkiewicz,Zbigniew Mazurkiewicz,http://www.wikidata.org/entity/Q1379798,Cmentarz ewangelicko-augsburski w Warszawie,1920-08-14T00:00:00Z,1999-04-22T00:00:00Z,
http://www.wikidata.org/entity/Q11720309,Janusz Maciejewski,Janusz Maciejewski,http://www.wikidata.org/entity/Q1379798,Cmentarz ewangelicko-augsburski w Warszawie,1930-06-02T00:00:00Z,2011-02-09T00:00:00Z,
http://www.wikidata.org/entity/Q120874,Georg Gottlieb Pusch,Georg Gottlieb Pusch,http://www.wikidata.org/entity/Q1379798,Cmentarz ewangelicko-augsburski w Warszawie,1790-12-15T00:00:00Z,1846-12-02T00:00:00Z,
http://www.wikidata.org/entity/Q274277,Małgorzata Braunek,Małgorzata Braunek,http://www.wikidata.org/entity/Q1379798,Cmentarz ewangelicko-augsburski w Warszawie,1947-01-30T00:00:00Z,2014-06-23T00:00:00Z,
http://www.wikidata.org/entity/Q350948,Edward Kłosiński,Edward Kłosiński,http://www.wikidata.org/entity/Q1379798,Cmentarz ewangelicko-augsburski w Warszawie,1943-01-02T00:00:00Z,2008-01-05T00:00:00Z,
http://www.wikidata.org/entity/Q512202,Stanisław Jankowski,Stanisław Jankowski,http://www.wikidata.org/entity/Q1379798,Cmentarz ewangelicko-augsburski w Warszawie,1911-09-29T00:00:00Z,2002-03-05T00:00:00Z,
http://www.wikidata.org/entity/Q693328,Ludwik Krzywicki,Ludwik Krzywicki,http://www.wikidata.org/entity/Q1379798,Cmentarz ewangelicko-augsburski w Warszawie,1859-08-21T00:00:00Z,1941-06-10T00:00:00Z,
http://www.wikidata.org/entity/Q2331380,Stanisław Lorentz,Stanisław Lorentz,http://www.wikidata.org/entity/Q1379798,Cmentarz ewangelicko-augsburski w Warszawie,1899-04-28T00:00:00Z,1991-03-15T00:00:00Z,
http://www.wikidata.org/entity/Q9152038,Andrzej Garlicki,Andrzej Garlicki,http://www.wikidata.org/entity/Q1379798,Cmentarz ewangelicko-augsburski w Warszawie,1935-06-03T00:00:00Z,2013-04-14T00:00:00Z,
http://www.wikidata.org/entity/Q9152671,Andrzej Krzywicki,Andrzej Krzywicki,http://www.wikidata.org/entity/Q1379798,Cmentarz ewangelicko-augsburski w Warszawie,1937-10-17T00:00:00Z,2014-06-02T00:00:00Z,
http://www.wikidata.org/entity/Q9251278,Edward Wende (1936-2002),Edward Wende,http://www.wikidata.org/entity/Q1379798,Cmentarz ewangelicko-augsburski w Warszawie,1936-08-16T00:00:00Z,2002-05-28T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Wende.jpg
http://www.wikidata.org/entity/Q16592220,Przemysław Trojan,Przemysław Trojan,http://www.wikidata.org/entity/Q1379798,Cmentarz ewangelicko-augsburski w Warszawie,1929-08-22T00:00:00Z,2015-11-18T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Przemys%C5%82aw%20Trojan%20%28gr%C3%B3b%29%2001.jpg
