person,personLabel,name_in_native_language,cemetery,cemeteryLabel,birthDate,deathDate,grave_photo
http://www.wikidata.org/entity/Q553657,Edward Stachura,Edward Stachura,http://www.wikidata.org/entity/Q8510786,Cmentarz Komunalny Północny w Warszawie,1937-08-18T00:00:00Z,1979-07-24T00:00:00Z,
http://www.wikidata.org/entity/Q612796,Jan Nagórski,Jan Nagórski,http://www.wikidata.org/entity/Q8510786,Cmentarz Komunalny Północny w Warszawie,1888-02-20T00:00:00Z,1976-06-09T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Nag%C3%B3rski%20%28gr%C3%B3b%29%201.JPG
http://www.wikidata.org/entity/Q724721,Józef Nowak,Józef Nowak,http://www.wikidata.org/entity/Q8510786,Cmentarz Komunalny Północny w Warszawie,1925-04-08T00:00:00Z,1984-01-16T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Wolka%20jozef%20nowak.jpg
http://www.wikidata.org/entity/Q2091053,Irena Adamowicz,Irena Adamowicz,http://www.wikidata.org/entity/Q8510786,Cmentarz Komunalny Północny w Warszawie,1910-05-11T00:00:00Z,1973-08-12T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Irena%20Adamowicz%20%28gr%C3%B3b%29%2001.jpg
http://www.wikidata.org/entity/Q4372978,Bohdan Poręba,Bohdan Poręba,http://www.wikidata.org/entity/Q8510786,Cmentarz Komunalny Północny w Warszawie,1934-04-05T00:00:00Z,2014-01-25T00:00:00Z,
http://www.wikidata.org/entity/Q8067739,Zbigniew Jaworowski,Zbigniew Jaworowski,http://www.wikidata.org/entity/Q8510786,Cmentarz Komunalny Północny w Warszawie,1927-10-17T00:00:00Z,2011-11-12T00:00:00Z,
http://www.wikidata.org/entity/Q9153064,Andrzej Nowicki,Andrzej Nowicki,http://www.wikidata.org/entity/Q8510786,Cmentarz Komunalny Północny w Warszawie,1919-05-27T00:00:00Z,2011-12-01T00:00:00Z,
http://www.wikidata.org/entity/Q9153995,Andrzej Wohl,Andrzej Wohl,http://www.wikidata.org/entity/Q8510786,Cmentarz Komunalny Północny w Warszawie,1911-02-27T00:00:00Z,1998-09-01T00:00:00Z,
http://www.wikidata.org/entity/Q9154043,Andrzej Wydrzyński,Андрій Виджинський,http://www.wikidata.org/entity/Q8510786,Cmentarz Komunalny Północny w Warszawie,1921-12-01T00:00:00Z,1992-07-13T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Andrzej%20Wydrzy%C5%84ski%20gr%C3%B3b.JPG
http://www.wikidata.org/entity/Q9175750,Bogusław Gdowski,Bogusław Gdowski,http://www.wikidata.org/entity/Q8510786,Cmentarz Komunalny Północny w Warszawie,1931-12-11T00:00:00Z,2009-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q9324910,Ryszard Przybylski,Ryszard Przybylski,http://www.wikidata.org/entity/Q8510786,Cmentarz Komunalny Północny w Warszawie,1928-06-01T00:00:00Z,2016-05-10T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Przybylski%20Ryszard%20grave.jpg
http://www.wikidata.org/entity/Q9341521,Stanisław Andrzej Moskal,Stanisław Andrzej Moskal,http://www.wikidata.org/entity/Q8510786,Cmentarz Komunalny Północny w Warszawie,1921-11-10T00:00:00Z,2008-01-01T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Stanis%C5%82aw%20Moskal%20grave.jpg
