person,personLabel,name_in_native_language,cemetery,cemeteryLabel,birthDate,deathDate,grave_photo
http://www.wikidata.org/entity/Q55743,Jacek Kuroń,Jacek Kuroń,http://www.wikidata.org/entity/Q2790054,Cmentarz Wojskowy na Powązkach,1934-03-03T00:00:00Z,2004-06-16T00:00:00Z,
http://www.wikidata.org/entity/Q55743,Jacek Kuroń,Jacek Kuroń,http://www.wikidata.org/entity/Q2790054,Cmentarz Wojskowy na Powązkach,1934-03-03T00:00:00Z,2004-06-17T00:00:00Z,
http://www.wikidata.org/entity/Q55832,Bolesław Bierut,Bolesław Bierut,http://www.wikidata.org/entity/Q2790054,Cmentarz Wojskowy na Powązkach,1892-04-18T00:00:00Z,1956-03-12T00:00:00Z,
http://www.wikidata.org/entity/Q55834,Wojciech Jaruzelski,Wojciech Witold Jaruzelski,http://www.wikidata.org/entity/Q2790054,Cmentarz Wojskowy na Powązkach,1923-07-06T00:00:00Z,2014-05-25T00:00:00Z,
http://www.wikidata.org/entity/Q55924,Józef Oleksy,Józef Oleksy,http://www.wikidata.org/entity/Q2790054,Cmentarz Wojskowy na Powązkach,1946-06-22T00:00:00Z,2015-01-09T00:00:00Z,
http://www.wikidata.org/entity/Q55927,Jan Olszewski,Jan Olszewski,http://www.wikidata.org/entity/Q2790054,Cmentarz Wojskowy na Powązkach,1930-08-20T00:00:00Z,2019-02-07T00:00:00Z,
http://www.wikidata.org/entity/Q55941,Przemysław Gosiewski,Przemysław Edgar Gosiewski,http://www.wikidata.org/entity/Q2790054,Cmentarz Wojskowy na Powązkach,1964-05-12T00:00:00Z,2010-04-10T00:00:00Z,
http://www.wikidata.org/entity/Q100005,Tadeusz Borowski,Tadeusz Borowski,http://www.wikidata.org/entity/Q2790054,Cmentarz Wojskowy na Powązkach,1922-11-12T00:00:00Z,1951-07-03T00:00:00Z,
http://www.wikidata.org/entity/Q157176,Władysław Szpilman,Władysław Szpilman,http://www.wikidata.org/entity/Q2790054,Cmentarz Wojskowy na Powązkach,1911-12-05T00:00:00Z,2000-07-06T00:00:00Z,
http://www.wikidata.org/entity/Q157282,Bronisław Geremek,Bronisław Geremek,http://www.wikidata.org/entity/Q2790054,Cmentarz Wojskowy na Powązkach,1932-03-06T00:00:00Z,2008-07-13T00:00:00Z,
http://www.wikidata.org/entity/Q157318,Leszek Kołakowski,Leszek Kołakowski,http://www.wikidata.org/entity/Q2790054,Cmentarz Wojskowy na Powązkach,1927-10-23T00:00:00Z,2009-07-17T00:00:00Z,
http://www.wikidata.org/entity/Q158080,Magdalena Abakanowicz,Magdalena Abakanowicz,http://www.wikidata.org/entity/Q2790054,Cmentarz Wojskowy na Powązkach,1930-06-20T00:00:00Z,2017-04-20T00:00:00Z,
